fake_innocence,pov_situation,fake_study,shock_humor,female_desire,kink_subculture,mock_qa,comment_bait,chaotic_relatable,visual_punchline
we're taking it slow also us:,when he texts i miss u first for once,according to science the best position for back pain relief is face down with ur hips up,the way i ride should qualify me for the olympics,thinking about how good it would feel to be chosen first for once,gooning with my location off so nobody perceives me,genuine question: what do guys do when they accidentally touch hands with their homie like do u panic,ladies do u prefer older or younger guys,when ur thighs are burning but u cant let him know ur struggling,the angle that turns a maybe into a definitely
just a guy i know who,pov: he's meeting ur friends and lowkey doing better than u,new findings show that swallowing actually boosts your immune system by 60%,me explaining that drooling is just my body's way of saying thanks,i need him scared of losing me but comfortable at the same time,the way i immediately start gooning after any minor inconvenience,men pls answer do yall actually find confidence attractive or is that just something we tell ourselves,boys be real what outfit gets u the most excited,the mental preparation before agreeing to let him try something new,when he says he's going to bed early so u send this to keep him up
just friends who lowkey do everything,when ur playing it cool but he just grabbed ur waist,experts say that riding him in the morning is better than coffee,i'm not freaky i'm just really enthusiastic about anatomy,girl math is he's toxic but the chemistry is insane so it cancels out,pov: u just found out im a gooner and ur intrigued,serious question for guys: do u prefer when we sleep over or when we leave after like be honest,guys tell me ur type and ill tell u if ur mine,me pretending im not thinking about my show while this is happening,pov: about to make him fail his own test
keeping it pg also what pg:,pov: he asks if ur hungry after u said no three times,studies prove that girls who respond with pictures instead of words keep him longer,when he taps out but i'm just getting started,when he's mean to everyone but soft with u >>>,my morning routine is just gooning and iced coffee,okay real talk do guys get insecure about their performance or is that not even on ur radar,men explain why u like crazy girls but complain,when he wants to be romantic but i just need this done in 5 minutes,what i gotta do when he likes someone else's instagram pic
he's just my study buddy who,when he remembers ur coffee order without asking,researchers discovered that letting him record it increases trust in relationships by 89%,my throat game so strong i could probably sword swallow professionally,my type is someone who can match my freak without blinking,why does gooning always sound like a good idea at 2am,genuine question: how do guys decide if theyre gonna wife a girl or just keep it casual,ladies would u ever make the first move,trying to look cute from below but ur double chin has other plans,me pulling this out when the argument isn't going my way
innocent hangouts where his hands,pov: ur being bratty and he just gives u that look,rule number 2 is never letting him leave the house without draining him first,me acting innocent knowing damn well what i did last night,the urge to be absolutely feral but also his passenger princess,caught gooning and had to pretend i was doing something normal,men be honest does it bother u when we wear ur clothes or do u secretly think its cute,boys what do u think about when u stare at us,me doing kegels during because might as well multitask atp,the look i give when i need him to stop being logical and just agree with me
just watching movies together while his,when he says bet and u know ur in trouble,new study finds that women who cook dinner in just an apron get proposed to faster,the sound effects are how u know i'm doing it right,i think too much about what he's doing when he's not texting back,when the goon is so good u start levitating,serious question for guys: do yall really need post nut clarity or is that just an excuse to be distant,guys be honest do u actually like when we chase,when i have to teach a full grown man where everything is located,when he thinks he's the prize so u gotta humble him real quick
not dating just exclusively obsessed with,pov: he's playing video games but still has his hand on ur thigh,scientists say that your lips wrapped around it is the best stress relief known to man,when he asks if i'm always like this and i say only on days that end in y,need someone who gets hard just thinking about me tbh,my contribution to society is being really good at gooning,genuine question what do guys think about during the deed like are u actually present or planning ur day,men tell me the real reason u left her,the way i hold my breath trying to make my stomach look flat,how i stand when i need to be unblocked
we're just chilling also the chilling:,when ur trying to argue but he's looking at u like that,according to research being obsessed with each other is actually healthier than being chill,i don't gag anymore i've evolved past that,my toxic trait is thinking i'm the exception to his pattern,him asking what im into and i have to censor the goon talk,okay but fr do guys get jealous when we talk to other guys or do u just not care like that,ladies would u rather be wifed up or single rn,me regretting every life choice when he says hes almost there for the 4th time,the pic that turns im busy into omw
casual hangout where he casually,pov: he sends a fit check and suddenly ur planning ur outfit around his,doctors now prescribe letting him use u as a stress toy instead of therapy,me pretending his size matters when it's really the enthusiasm,ovulation hits and suddenly i need to be pinned against something,gooning instead of processing my emotions like an adult,men answer honestly: do u prefer natural or done up bc yall send mixed signals,boys drop ur zodiac sign and ill tell u our chemistry,when ur arm goes numb but ur supposed to be touching him still,me getting into position to fix whatever i just ruined
mom said no boys over so,when he calls u out for lying and he's completely right,new data shows that girls who beg for it have 50% more exciting relationships,the way i bounce back should be in medical journals,the way i romanticize men who are just mid,why am i only motivated to goon never to do laundry,genuine question for guys: does size actually matter or are yall just as insecure as we are,guys explain what ur looking for in the comments,trying to moan sexy but it comes out sounding like a dying walrus,what i do when he starts that not all men speech
just being friends while sitting on,pov: ur giving him attitude and he just laughs,studies reveal that making eye contact while u do it increases emotional bonding,when ur head game so good he starts believing in god again,i can be his therapist and his slut it's called multitasking,the urge to goon vs the urge to be a functioning person,real talk do guys actually enjoy cuddling after or would u rather just go to sleep immediately,men be real how many girls are u talking to rn,me negotiating with god to make this end faster,the forbidden camera roll pic i have to use when he's acting up
wholesome friendship where he leaves marks,when he says he's proud of u and u malfunction,experts confirm that being his personal toy is actually good for ur mental health,i'm not loud i'm just very expressive with my appreciation,need him obsessed but not clingy there's a difference,making eye contact while gooning to assert dominance,guys be honest: do u really not know what ur feeling rn or do u just not wanna say it,ladies honest answer do u prefer toxic or boring,when he flips me over but i needed 2-3 business days to recover first,how i gotta pose when he says he needs space
not together just letting him claim,pov: he's talking to other people but keeps looking at u,researchers found that hickeys on your inner thighs last longer than regular ones,me showing him that flexibility from yoga class wasn't for nothing,my biggest flex is making him do things he said he'd never do,my search history is just goon optimization tips,genuine question what do guys find more attractive confidence or the shy thing bc im getting mixed reviews,boys tell me what girls do that gives u the ick,the fake enthusiasm i have to perform when he tries dirty talk,me right before i send the text his gf shouldn't see
pure intentions also my intentions:,when ur cold and he already has his hoodie off,new study shows that letting him finish wherever he wants builds confidence,the wet sounds are just proof i'm doing my job correctly,the way men don't understand the power they'd have if they just obsessed over us,when u both admit ur gooners and the vibe shifts,okay serious question: do guys care about our past or is that just ego getting in the way,guys would u date a girl who makes more money,me wondering if this counts as my cardio for the day,when he's winning the argument so u have to switch tactics
just a friend who gets territorial,pov: he asks who ur texting and it's literally just ur mom,according to science girls who let him control their toy remotely report higher satisfaction,when he says take it easy and i simply do not,i think my kink is being someone's first thought when they wake up,scheduling my day around optimal goon hours,men pls be honest do yall actually like when we cook for u or is that outdated,men explain why u watch but never like my posts,when i gotta act surprised like he did something different this time,the angle i hit when words aren't working anymore
keeping it friendly also the friendly looks:,when he does the hand thing while ur walking,rule number 3 is always being ready for him no matter where u are,i give throat massages from the inside free of charge,girl math is if he's thinking about u he's not with anyone else,explaining goon culture to someone and watching their face change,genuine question for guys: how long does it actually take u to finish in there bc it seems excessive,ladies do u think guys deserve a second chance,trying to be spontaneous but all i can think about is my bladder,me getting ready to be the reason he's in trouble
not serious just planning our future,pov: ur leaving and he pulls u back for one more kiss,doctors say that moaning his name burns the same calories as a 5k run,me acting like i don't know exactly what i'm doing to him,need to be looked at like i'm the only person in the room,the post goon clarity hitting and im a different person,real question do guys prefer morning or night like does the time actually make a difference,boys be honest do u prefer innocent or freaky,me holding in a cramp while maintaining bedroom eyes,what i look like before i ruin his productivity for the day
just cuddles nothing else the cuddles:,when he says he told his boys about u,new findings prove that sending him videos while hes at work improves his mood by 78%,the grip i have should be considered a superpower,my standards: make me laugh and also make me nervous,why does everyone in my comments know im a gooner,guys answer this: do u really think about it every 7 seconds or is that just propaganda,guys tell me how many dates before u catch feelings,when he wants me to be dominant but i have zero ideas what that means,the pose i do when i need to be prioritized again
innocent friendship but his hand keeps,pov: he's pretending to be annoyed but he's smiling,studies show that couples who try new positions weekly stay together longer,when ur so into it u forget ur in a public parking lot,the urge to send him something insane just to get a reaction,catching feelings mid goon and ruining the whole vibe,genuine question: what do guys do when they get nervous like do yall have tells or just hide it,men what do girls wear that drives u the most crazy,the oscar worthy performance i give when hes clearly very proud of himself,how i gotta stand to get put back on his close friends
were just close friends who,when ur scrolling and he just takes ur phone to hold ur hand,researchers discovered that wearing skirts with no underwear around him strengthens relationships,i don't do foreplay i do the entire play plus encore,i think about being desired more than i think about actual s3x,my healthy coping mechanism is gooning apparently,okay but do guys actually care if we swallow or is that just a preference thing,ladies would u date a guy with no social media,me trying to remember if i shaved enough to justify this position,me remembering i can just do this instead of communicating
casual friend who sleeps over and,pov: he sends a shirtless snap with streaks and ur not on streaks,experts now recommend letting him wake u up with it for better mornings,me explaining that being on my knees is actually my power position,when he's a little possessive but not crazy >>> that's the sweet spot,when the goon sesh turns into an accidental all nighter,men be honest does it turn u off when we initiate everything or do u find that hot,boys drop ur red flags and ill tell u if i can fix u,when my hair gets stuck under his hand but i gotta stay in character,when he says he's not simping this year so u gotta test that theory
not my bf just the guy,when he says ur name instead of baby and u know ur cooked,new data reveals that girls who let him use both holes are 10x more likely to get wifed,the way i arch should be taught in engineering classes,my type is someone who texts back fast and has big hands,rating my top goon moments like its content,genuine question for guys: do yall wash ur legs in the shower or just let the water handle it,guys be real do u prefer clingy or independent,trying to be a freak but my social anxiety is also here apparently,the pic i take when he needs a reminder of what he's fumbling
just talking stage where we already,pov: ur trying to give him space but he keeps texting u,according to studies your knees on the floor is the universal language of love,when he finishes and i ask if that's all like i'm disappointed,the way i need validation from men i don't even like,my personality trait is casually mentioning gooning,serious question do guys like when we act a little jealous or does that just seem crazy,men tell me what ur last situationship died from,me doing mental math on how many calories this is burning,me pulling this move when he starts making too much sense
wholesome behavior also me leaving his,when he asks what u want and actually listens,scientists confirm that being shared with his best friend actually increases couple satisfaction,i'm basically a vacuum the way i create suction,i deserve someone who's nervous to lose me for once,the way i goon to the most random things and feel no shame,real talk for men: do u prefer texting or calling bc it feels like yall hate both options,ladies honest question do u sleep with him on date one,when he wants to make eye contact but im dissociating so hard rn,what i do when he thinks he's over me
not exclusive just blocked every girl,pov: he's driving and puts his hand out for u to hold,rule number 4 is making sure he never has to ask twice for anything,me pretending to be shy knowing i've done way worse,need him to look at me the way i look at him when he's not paying attention,gooning in public is a mentality not a location,genuine question what do guys do when theyre into someone like whats the move bc its unclear,boys explain why u say ur 6ft but ur really 5'10,the way i have to convince myself this will be worth it,the angle that makes him text back in under 60 seconds
just friends who text 24/7 and,when ur sad and he just knows without u saying anything,researchers found that girls who edge him for hours have more control in the relationship,the noises i make should come with a parental advisory,girl math is emotional damage but the d was good so we're even,my screen brightness at 5 percent for stealth gooning,okay be honest guys: does it bother u when were on our phone during or do u not even notice,guys tell me in the comments what ur love language is,me trying to dirty talk back but i just say yeah like 8 times,how i look getting ready to distract him from his responsibilities
casual thing also him meeting my,pov: he says goodnight then texts u again two seconds later,new study shows that letting him slap it until its red is therapeutic for both parties,when ur riding and he grabs ur hips to slow u down but u speed up,my toxic trait is thinking i can make him want only me,why do i goon hardest right before important meetings,men pls answer: do yall really need space when ur upset or is that just shutting us out,men be honest do u actually want a relationship rn,when ur trying to finish but he keeps changing what hes doing,me about to send what his mom wouldn't approve of
just hanging out while he grabs,when he calls u pretty with no makeup on,experts say that being available 24/7 for his needs is the secret to lasting love,i don't have a gag reflex i have a welcome committee,the way i get butterflies when he does literally anything,the group chat asking where i am and im deep in a goon,genuine question for guys: how do u decide whos gf material vs just fun bc i need the criteria,ladies would u rather be his gf or his sneaky link,the performance i put on so he doesnt feel bad about lasting 2 minutes,when he's being reasonable so u need to make him unreasonable
not dating just wearing his hoodies,pov: ur overthinking the double text but he's been waiting for it,doctors recommend taking him as deep as possible to strengthen throat muscles,the eye contact i maintain while doing it should be illegal in several states,i think my biggest turn on is when he takes control without asking,my alone time is sacred bc thats when the gooning happens,serious question do guys get attached after or is that just an emotional thing for girls,boys what do girls text that makes u lose interest,me hyping myself up to ask for what i actually want,the pose that turns his boys night into maybe next time
keeping it casual also him asking,when he asks can i see u rn and drops everything,new findings reveal that girls who clean up their own mess are 95% more likely to be kept,me acting surprised that he's already done when i barely started,need someone who's obsessed but also has their own life,when someone interrupts ur goon and u have to restart,real talk men: do u prefer when we play hard to get or when were just straightforward,guys drop a number 1-10 and ill assign u a type,when he asks what i like but ive been faking it so long idk anymore,me pulling out this weapon when he says he's trying to focus
platonic friend who gets jealous when,pov: he's showing u his playlist and ur basically in every song,studies prove that letting him finish and then begging for more makes u unforgettable,i'm not a freak i'm just very hands on with my hobbies,my type is someone who's calm in public but different with me,my google searches are goon this goon that,genuine question what do guys actually want in a relationship bc the answers keep changing,men tell me what makes u commit vs just hook up,trying to look seductive while also preventing a leg cramp,what i gotta do when he starts using logic against my delusions
just besties also him tracing my,when ur trying to play hard to get but he sees right through it,according to research being his good little slut in private makes u his queen in public,the way i throw it back could cause whiplash and i'm not sorry,the urge to be the reason he can't focus on anything else,trying to explain why gooning is self care actually,okay final question for guys: do yall actually like us or just like what we do for u,ladies do u think age gaps are weird or fine,me wondering if other girls also plan their grocery list during this,the forbidden move i use when im losing his attention
we're just friends the friends:,pov: he says he's outside and u haven't even started getting ready,scientists discovered that the best apology is getting on ur knees,when he says he can't take anymore and i say skill issue,i think about being wanted the way men think about s3x,the post goon guilt lasting exactly 4 seconds before round two,men be honest rn: does it matter if we finish or is that not even a concern for u,boys be real what makes a girl wifey material,when i gotta pretend his attempts at foreplay are doing literally anything,how i stand when i need to remind him im the main character
we're just cuddling i swear,when he defends u and doesn't even realize how hot it was,experts now say that girls who let him glaze their face have 99% less relationship problems,my head game comes with a satisfaction guarantee or ur money back,when he remembers the little things u said >>> marry me rn,my toxic trait is gooning when i should be sleeping,genuine question for guys: whats the ideal amount of texting bc too much is clingy but too little is uninterested,guys explain why u breadcrumb instead of just leaving,the way i have to strategically position myself so nothing looks weird,when he says he's not looking for anything serious so i gotta remind him real quick:
he's helping me stretch that's all,pov: he texts back in 2 minutes after u waited 3 hours to reply,a new study found that women who sit on their man's lap during arguments win 98% of the time,i always swallow my pride when i'm wrong,my toxic trait is thinking i can fix him by letting him do whatever he wants to me,i'm not addicted i just think about it every 6 minutes,genuine question do guys get hard every time or is it like a sometimes thing,ladies be honest in the comments what do guys do that instantly turns u off,when i stretch before sex like im about to run a marathon,the angle i have to hit when i catch him looking at other girls on the timeline
just practicing my gag reflex for the doctor,when ur man admits u were right but u already started round 2 of the argument,according to research women who maintain eye contact while on top have a 94% higher success rate,nothing says friendship like sharing ur chapstick after,girl math is having a boyfriend but still fantasizing about getting railed by a stranger,why is edging lowkey becoming my whole personality,men be honest does it move on its own or do u have full control,boys whats the biggest mistake girls make on the first date,me acting like 2 minutes of riding didnt just end my whole fitness journey,me pulling out this move when the dry texter finally asks what im doing
we're wrestling stop being weird,pov: you catch him staring and he doesn't even look away,scientists discovered that using ur tongue a certain way can make a man fall in love in under 3 minutes,i love making things fit that probably shouldn't,i think my biggest turn on is when he stops asking for permission,sorry i can't hang out i'm having a moment rn,okay but fr what do guys think about while they're finishing,men of tiktok answer this: would u rather she cooks or she's good in bed,when he wants round 2 but ur still recovering from round 1,when ur talking stage guy posts another girl so u gotta post this
he's teaching me anatomy rn,when he says he's 5 minutes away so u have to get cute in 30 seconds,rule number 1 of keeping a man interested is letting him think he's in control when ur actually running everything,practice makes perfect is why i'm so good at this,the way i get feral when he tells me to keep my hands behind my back,u ever just lose track of time for like 4 hours straight,do guys prefer when we make noise or is that just a porn thing,girls lets settle this rn does size actually matter yes or no,my cardio is literally just trying not to tap out after 30 seconds on top,the forbidden camera roll pic i send when he takes longer than 10 mins to reply
roommates who occasionally make out,pov: ur getting ready for a date with someone u said u'd never talk to again,doctors now recommend sitting on his face at least 3 times a week for optimal health benefits,the way i get on my knees to tie my shoes is suspicious,not me getting wet just thinking about him being obsessed with me,my screen time is embarrassing but i regret nothing,genuine question can u actually tell the difference between styles or nah,guys be real which compliment from a girl hits the hardest,when i have to ice my knees after being on them for 10 minutes,my face when i see he viewed my story but didn't swipe up
just friends who sleep naked together sometimes,when you open snap and see he watched ur story in under 10 seconds,a recent study showed that women who send that pic get what they want 89% of the time,i'm just naturally good with my hands idk,my red flag is i want him to be possessive but also let me do whatever i want,normalize talking about ur interests without shame,men please be honest do u like when we act shy or is that annoying,ladies what do men do that they think is hot but its actually cringe,me pretending im not out of breath after changing positions once,when he says he misses me but hasn't made plans yet so i hit him with:
studying biology very hands on approach,pov: he just said bet when u threatened to go out without him,researchers found that the average man can only resist for 4.2 seconds once u start using ur hips right,my gag reflex disappeared the same time my standards did,manifesting a man who matches my freak without me having to explain it,when he asks what i'm doing and i have to lie,wait do guys replay it in their head after or immediately forget,boys honest answers only whats worse: clingy or too independent,when he thinks im flexible but i pulled something just getting into bed,pov ur the gym pic i post when i know he's online
he's just really good at giving massages okay,when ur trying to stay mad but he starts being sweet again,rule number 2 never let him know that u know exactly what ur doing to him,i'll put anything in my mouth if u dare me to,girl math is wanting respect in public but to be disrespected in private,i need someone who matches my energy levels,serious question does morning wood hurt or is it just there,men drop in the comments what makes u catch feelings fast,my thighs burning but im trying to look cute through the pain,me after he leaves me on read so i gotta make sure he regrets it:
practicing my splits for yoga obviously,pov: you post a thirst trap and he still hasn't seen it after 4 hours,according to science making that face at him increases his obsession levels by 67%,eye contact hits different when ur down there,lowkey my love language is when he just takes what he wants,my search history would actually end me,do guys compare sizes with their friends or is that a myth,girls tell me rn whats the male version of wearing lingerie,when i gotta take a break mid makeout bc my jaw is cramping,the energy i gotta bring when his ex likes his post
we share a bed to save money that's it,when he calls u bro but his hand is literally on ur thigh rn,a new study found that women who know how to use their mouth properly never pay for dinner,i love the taste of victory and other things,the urge to tell him to go harder even though i know i cant handle it,why do i feel more alive at 3am doing this,genuine question does it feel different with feelings involved or same same,guys be honest do u prefer makeup or no makeup on her,me doing stretches at 2am so i dont cramp up during,when bro thinks he's the prize so i remind him who he's talking to:
he's helping me with my flexibility training,pov: ur ex likes ur insta after u got hot,scientists discovered that sitting on it backwards activates a different part of his brain entirely,my jaw gets tired from talking too much wink wink,my biggest fantasy is him losing control because of me,u wouldn't get it but that's ok,okay men be real do u think about other stuff to last longer,ladies what do guys text that makes u instantly lose interest,when ur trying to be adventurous but ur body is like girl no,my response when he asks if im talking to other people
just besties who occasionally hook up nbd,when u say ur fine but ur already planning revenge in ur head,research shows that men who get called a good boy during it become 91% more obedient,i'm very hands on when i'm learning something new,highkey need a man whos intimidated by me everywhere except the bedroom,my hobbies include overthinking and other things,wait can guys actually go multiple rounds or is that cap,boys settle this debate rn is being jealous toxic or cute,my lower back after i tried to arch it for more than 5 seconds,the pic that goes straight to close friends when he's acting up
giving him a totally platonic lap dance rn,pov: you see his name pop up after u just posted about him,doctors say that riding him until he can't think straight is actually good for his mental health,i never leave someone hanging if u know what i mean,not me planning our whole life together after one intense eye contact,i'm just here living my truth idc anymore,do guys get nervous too or is it just us freaking out,men answer honestly would u date a girl who makes more money than u,when he wants me on top but i already know im gonna get a charlie horse,me after i check his following list and see way too many gym girls:
we're just really close friends who occasionally,when he says he's not jealous but suddenly wants to come with u,a recent study found that women who maintain eye contact while doing that thing have all the power,the secret is using ur tongue correctly,girl math is being independent but wanting him to throw me around,when u find ur people online and it just clicks,men be honest do u like when we take charge or does that intimidate u,girls which one matters more his height or his personality,me mentally preparing to be sore tomorrow for 4 minutes of activity,when he posts a thirst trap so i gotta one up him real quick:
he's my emotional support dick i mean friend,pov: ur trying to flirt but ur personality is just bullying him,according to researchers the sound u make when he hits the right spot can reprogram his entire brain,i'm oddly good at holding my breath underwater,my toxic trait is getting turned on when hes a little mean to me,this is my roman empire apparently,genuine question does it actually hurt if u don't finish or dramatic,guys drop ur answer what does she do that makes u wanna wife her up,when i have to explain why im walking funny and its not what he thinks,the look i give when he finally notices im wearing his favorite color
just tutoring me in his bedroom with the door locked,when u catch feelings for someone u were supposed to just be flirting with,rule number 3 if u want him obsessed just sit on his face and don't get up until ur done,my favorite position is whatever gets the job done,the way id let him ruin my life if he just keeps doing that thing with his hands,my brain is rotted but in a fun way,okay but do guys think we're pretty during or is it just primal,ladies be real in the comments do u actually like nice guys or nah,my neck hurting bc i was at a weird angle for way too long,my camera roll when im trying to make him jealous but keep it classy:
we take friendship showers to save water,pov: he double texts and now u have all the power,scientists found that using ur hips in a circular motion increases his attachment by 73%,i love getting messy it's more fun that way,manifesting someone who can keep up with how insatiable i actually am,i need a hobby but not like a normal one,wait do guys get attached after or is that just a girl thing,boys whats something girls do that makes u nervous in a good way,when he asks if im okay and im literally just trying not to pass out,when he sends a regular selfie back so i gotta show him how it's done:
platonic sleepover where we happened to,when ur man says pick a place and u actually have to decide,a new study showed that men who experience that grip never fully recover and that's the point,finishing what i started is my toxic trait,girl math is feminism in the streets but whatever he wants in the sheets,the way i light up when someone understands,men please answer do u prefer lights on or off fr,men lets hear it whats the biggest turn on that girls dont know about,me acting like i didnt just almost dislocate my hip trying something new,me reminding him why he texted me first:
roommates split rent and occasionally each other,pov: you run into him right after saying u don't care anymore,research indicates that women who know how to arch properly run the entire relationship,size doesn't matter when u know what ur doing,catch me getting feral over a man who actually knows what hes doing,my for u page knows me too well atp,genuine question how do guys decide if they're gonna text after,girls honest question do u prefer him dominant or submissive,when ur arms give out but u gotta pretend ur just switching positions,the angle that makes him forget he said he needed space
just a girl and her totally platonic overnight guest,when he starts an argument right before u were gonna be nice to him,according to science letting him finish inside creates a chemical bond that lasts 6 months minimum,i'll try anything twice just to make sure,my type is someone who realizes im in charge even when im not,i'm just a girl with hyperspecific interests,do guys actually like the revealing fits or prefer left to imagination,guys comment below what makes a girl wifey material vs just a fling,my whole body aching bc i tried to impress him with my nonexistent stamina,when his responses get short so i post this and wait
he's checking my tonsils with his tongue super normal,pov: ur getting ready to see him but he doesn't even know yet,doctors now say that the way u look at him while on ur knees can alter his brain chemistry permanently,going down is my favorite way to start the day,lowkey i need him to be obsessed with me or i dont want it,when u accidentally reveal too much online,okay honest question does size of our 🍒 matter to guys,ladies settle this rn would u rather he's rich or he's attractive,when i need a water break but dont wanna kill the vibe,my pov after he likes my story 0.5 seconds after i post it
